first_name,last_name,department,institution,country,n_papers,region,year
Taeku,Lee,Government,Harvard,USA,5,East,2015
Christina,Mora,Sociology,UC Berkeley,USA,1,West,2021
Dina,Okamoto,Sociology,Indiana,USA,1,Midwest,2021
Aniket,Kesari,Law,Fordham,USA,3,East,2020
Charles,Crabtree,Government,Dartmouth,USA,1,East,2022
Nathan,Chan,Political Science,Loyola Marymount University,USA,1,West,2020
Vivien,Leung,Political Science,Bucknell University,USA,2,East,2020
Jennifer,Wu,Political Science,Yale,USA,1,East,2023
Natalie,Masuoka,Political Science,UCLA,USA,1,West,2021
Hahrie,Han,SNF Agora Institute and Political Science,Johns Hopkins,USA,2,East,2020
Milan,de Vries,SNF Agora Institute,Johns Hopkins,USA,1,East,2020
Margaret,Ng,Journalism,UIUC,USA,1,Midwest,2019
Jaeung,Sim,Business,Conneticut,USA,1,East,2016
Daegon,Cho,Business,KAIST,South Korea,1,NA,2016
Reuel,Rogers,Political Science,Northwestern,USA,1,Midwest,2019
Carlos,Ortiz,Data Science,UC Berkeley,USA,1,West,2018
Sarah,Nam,"Immunology, Data Science",UC Berkeley,USA,1,West,2018
Sarah,Santiago,Applied Mathematics,UC Berkeley,USA,1,West,2018
Vivek,Datta,Computer Science and Data Science,UC Berkeley,USA,1,West,2018
Michael,Gaddis,Sociology,UCLA,USA,1,West,2022
John,Holbein,Public Policy,Virginia,USA,1,South,2022
Aram,Hur,"International Studies",Tufts,USA,1,East,2022
Cameron,Guage,Government,Dartmouth,USA,1,East,2022
William,Marx,Government,Dartmouth,USA,1,East,2022
Gwen,Prowse,"Political Science, Africana Studies",Tulane,USA,1,East,2022
Sono,Shah,Computational Social Science,Pew Research Center,USA,1,East,2022
Taylor,Brown,Computational Social Science,Meta,USA,1,West,2022
Tiago,Ventura,Public Policy,Georgetown,USA,1,East,2022
Tina,Law,Sociology,UC Davis,USA,1,Midwest,2022
Alan,Yan,Political Science,UC Berkeley,USA,1,West,2017
Andrew,Thompson,Political Science,George Washington,USA,1,East,2019
Joan,Cho,"East Asian Studies, Government",Wesleyan,USA,1,East,2022
DG,Kim,Inequality in America Initiative,Harvard,USA,1,East,2022
Liz,McKeena,Kennedy School of Government,Harvard,USA,1,East,2022
Nick,Camp,Organizatioinal Studies,Michigan,USA,1,Midwest,2019
Jaren,Habers,Public Policy,Georgetown,USA,1,East,2019
Rebecca,Johnson,Public Policy,Georgetown,USA,1,East,2023
Justin,Ho,Computational Social Science,Academia Sinica,Taiwan,NA,1,2022
AJ,Alvero,Sociology,University of Florida,USA,1,East,2022
Efrén,Pérez,"Political Science, Psychology",UCLA,USA,1,West,2022
Rob,Willer,Sociology,Stanford,USA,1,West,2023
Joe,Mernyk,Sociology,Stanford,USA,1,West,2023
Luke,Hewitt,Cognitive Science,Stanford,USA,1,West,2023
Don,Moynihan,Public Policy,Georgetown,USA,1,East,2023
Pam,Herd,Public Policy,Georgetown,USA,1,East,2023
Seb,Jilke,Public Policy,Georgetown,USA,1,East,2023
